,,bcc,,,,,,,,,,,,,,,,,,resp,,,,,,,,,,,,,,,,,
Compound,Temperature,Px(NVT),sigmaPx,Py(NVT),sigmaPy,Pz(NVT),sigmaPz,Rho(NPT),sigmaRho,Epot(NPT),sigmaE,Epot(gas),sigmaE,DHsub,sigmaH,gzip_size,D,S0,RMSD,Px(NVT),sigmaPx,Py(NVT),sigmaPy,Pz(NVT),sigmaPz,Rho(NPT),sigmaRho,Epot(NPT),sigmaE,Epot(gas),sigmaE,DHsub,sigmaH,gzip_size,D,S0,RMSD
furan,118,-708.172,499.031,-731.025,502.777,-745.023,516.014,1195.56,0.94998,12.0138,0.11518,50.691,2.89842,36.7151,2.90071,199073,0.0023,0.69749,0.171246,204.825,129.145,-1766.06,643.768,-2033.45,604.245,1209.2,0.607901,7.89276,0.106226,47.3042,2.85413,37.4493,2.85611,199070,0.0006,0.9063,0.11795
furan,123,-548.993,500.558,-558.235,504.551,-591.186,538.003,1187.87,1.14782,12.8355,0.132708,51.0629,3.01772,36.1821,3.02064,199587,0.0045,0.51193,0.170297,-411.75,539.519,-424.569,504.458,-483.676,509.43,1184.85,1.41489,10.5,0.13128,47.7715,3.08555,35.2262,3.08834,199373,0.0038,0.279682,0.171733
furan,128,-355.799,500.63,-383.674,486.224,-402.305,494.115,1182.44,1.31721,13.4988,0.138906,51.2497,3.16692,35.6225,3.16996,199645,0.0055,0.398397,0.173473,481.066,141.175,-951.699,719.448,-1570.29,688.911,1196.55,1.06281,9.56789,0.118791,48.1622,3.20211,36.4659,3.20431,199671,0.0024,0.674927,0.16299
furan,138,74.4032,501.978,91.4782,528.427,64.3599,555.513,1167.01,1.15746,15.1022,0.137369,52.2268,3.47681,34.8299,3.47952,200642,0.0157,0.0980371,0.172299,289.819,512.861,203.968,516.972,182.658,551.111,1171.59,1.60263,12.3092,0.149057,48.7459,3.41976,34.142,3.42301,200035,0.0038,0.0343819,0.171948
furan,148,546.346,561.323,536.884,568.934,490.096,570.009,1153.65,1.4484,16.5816,0.148513,52.4527,3.53148,33.4101,3.5346,201245,0.0333,0.00809649,0.172436,533.568,567.262,581.784,547.793,496.288,607.072,1151.56,1.45702,14.1624,0.148248,49.1484,3.48332,32.525,3.48647,201117,0.0306,-0.00214046,0.172439
furan,152,678.244,594.359,713.486,565.12,647.9,589.563,1147.92,1.04196,17.1645,0.144143,53.0187,3.72818,33.3267,3.73097,201254,0.0489,0.00386347,0.173492,675.044,578.539,668.521,595.824,631.041,564.721,1145.91,1.26716,14.7536,0.148392,49.8424,3.80768,32.5613,3.81057,201102,0.037,-0.00319345,0.172809
furan,158,921.015,596.365,908.797,600.072,908.749,594.92,1141.08,1.29916,17.9913,0.151722,53.3948,3.85342,32.7762,3.85641,201257,0.075,0.00134607,0.173112,918.542,569.336,952.72,576.896,879.191,567.676,1138.2,1.05807,15.5957,0.150839,50.4548,3.95942,32.2318,3.96229,201235,0.0655,-0.00179174,0.17281
furan,168,1349.43,619.095,1335.99,619.139,1300.24,578.633,1127.17,1.46265,19.4473,0.15946,54.1058,4.15548,31.8649,4.15854,201937,0.1344,0.000310998,0.172734,1305.55,584.239,1260.17,593.457,1212.61,645.528,1124.57,1.30164,17.0273,0.157139,50.7456,4.05028,30.9247,4.05333,201818,0.1327,0.00144289,0.172787
furan,178,1697.67,635.905,1699.47,626.854,1731.09,647.542,1113.97,1.25744,20.8627,0.166448,54.7583,4.35632,30.9358,4.3595,202071,0.2465,-0.00180761,0.172424,1687.41,606.736,1723.56,602.794,1624.77,642.218,1112.74,1.21245,18.3814,0.167592,51.4953,4.35076,30.1541,4.35399,201921,0.1869,0.000481457,0.172817
furan,180,1760.66,661.135,1797.48,654.815,1806.18,647.451,1110.88,1.18938,21.1599,0.167474,55.1595,4.4021,31.0065,4.40528,202030,0.2686,0.00132391,0.1723,1787.05,605.183,1765.26,622.33,1776.68,630.232,1109.51,1.07473,18.6765,0.167587,51.9332,4.44004,30.2636,4.4432,201853,0.2142,0.000187645,0.173
furan,188,2051.66,642.201,2069.47,674.752,2071.14,668.896,1100.58,1.45739,22.2724,0.175928,55.2079,4.52482,29.8094,4.52824,202013,0.3455,0.000587206,0.173279,2104.33,636.75,2100.41,670.776,2073.03,660.261,1098.13,1.46225,19.8146,0.170728,52.8762,4.70061,29.9355,4.70371,202139,0.3272,0.000157305,0.17252
furan,225,3426.94,686.051,3425.25,664.482,3452.73,702.62,1051.35,1.41118,27.34,0.202538,58.4576,5.53751,27.3762,5.54121,202830,1.0435,-0.000733134,0.173184,3343.45,704.48,3374.26,716.972,3408.17,657.738,1048.87,1.37662,24.8579,0.200881,54.9428,5.46227,26.3435,5.46596,202935,0.9273,0.00054499,0.172986
furan,244,4035.18,729.523,4072.91,758.542,4017.2,717.808,1025.8,1.4929,29.8957,0.217752,59.5338,6.06462,25.5808,6.06853,203142,1.5417,-2.69261e-05,0.173054,4045.89,739.891,4101.92,721.901,4064.55,739.619,1023.35,1.6336,27.3974,0.211415,56.0856,5.81627,24.6309,5.82011,203321,1.5311,5.38922e-06,0.172747
formaldehyde,81,4259.5,198.965,4259.31,207.732,-4035.64,889.778,1129.92,0.687328,-33.9534,0.0475606,1.40325,0.995906,34.0098,0.997041,87198,0,0.965201,0.0381533,5874.27,202.806,5869.21,183.097,-597.533,901.119,1097.56,0.870468,-27.0674,0.0493702,1.36307,0.940914,27.0836,0.942208,87181,-0,0.960998,0.0379636
formaldehyde,91,4800.3,231.306,4799.8,217.132,-3451.05,911.646,1096.68,0.523652,-33.184,0.0541922,1.56131,1.06991,33.2321,1.07128,87487,0,0.963065,0.0369143,6365.52,227.119,6376.35,197.296,-68.4788,945.29,1068.61,0.70856,-26.1887,0.0529686,1.54384,1.09434,26.2194,1.09562,87593,0,0.946065,0.0378419
formaldehyde,101,5291.57,229.084,5283.39,213.907,-2871.83,929.481,1088.28,0.525743,-32.6744,0.058588,1.70127,1.18361,32.6962,1.18506,87707,0,0.958078,0.037131,6934.3,214.186,6941.96,240.067,525.396,952.937,1060.1,0.818885,-25.6941,0.0567092,1.72418,1.20007,25.7388,1.20141,87791,0,0.938148,0.0382345
formaldehyde,111,5894.23,245.472,5870.61,250.058,-2263.7,1033.73,1080.43,0.525626,-32.1683,0.064951,1.92506,1.34863,32.2476,1.35019,87708,0,0.952876,0.0374656,7476.39,251.227,7475.38,249.086,1059.39,978.619,1050.63,0.956213,-25.1839,0.0641514,1.8692,1.29783,25.2074,1.29941,88091,0,0.929806,0.0387444
formaldehyde,121,6342.02,271.452,6353.82,275.916,-1759.85,1085.94,1072.33,0.53061,-31.661,0.0694722,2.02469,1.40673,31.6737,1.40844,88032,-0,0.947088,0.0377136,8063.77,257.976,8082.49,272.198,1696.67,1035.19,1041.03,0.651712,-24.6596,0.0684168,1.99012,1.39995,24.6377,1.40162,88186,-0,0.917836,0.0393343
formaldehyde,131,7001.34,274.425,6985.95,281.357,-1111.36,1100.82,1064.13,0.767902,-31.1475,0.0768449,2.21081,1.53239,31.18,1.53432,88209,0,0.940907,0.0380904,8576.97,288.144,8585.77,276.777,2229.16,1124.58,1030.79,0.909469,-24.106,0.0767172,2.17882,1.52899,24.1065,1.53091,88230,0,0.902797,0.0415741
formaldehyde,141,7490.27,278.83,7483.86,288.124,-589.925,1180.09,1056,0.68791,-30.6331,0.0810099,2.33569,1.66783,30.6242,1.6698,88457,0,0.932816,0.0384914,9164.62,297.608,9156.73,278.995,2806.56,1070.13,1031.6,0.999034,-23.7377,0.0806308,2.42031,1.69378,23.8134,1.6957,88716,0.0001,0.843866,0.0556427
formaldehyde,148,7853.38,289.045,7848.42,290.283,-241.622,1132.52,1049.12,0.521925,-30.2979,0.0848355,2.50968,1.76041,30.3466,1.76245,88385,-0,0.93047,0.0385981,9952.14,365.488,10002,347.588,5374.18,1114.09,958.452,1.16014,-21.1116,0.0881292,2.54493,1.78999,21.1955,1.79216,88778,0.8211,0.000156926,0.09466
formaldehyde,151,8105.94,305.392,8112.49,303.964,22.5846,1225.31,1047.77,0.810354,-30.1098,0.0864722,2.54552,1.75329,30.1444,1.75542,88601,0,0.924829,0.0388936,9773.39,296.069,9774.53,315.296,3401.15,1154.67,952.118,1.77533,-20.8838,0.0907779,2.64391,1.87189,21.0168,1.87409,88904,0.9798,5.05788e-05,0.0945452
formaldehyde,161,8586.83,339.429,8595.55,347.888,535.767,1234.75,1038.65,0.688241,-29.5628,0.0933073,2.68393,1.86821,29.5696,1.87054,88705,0,0.914687,0.0393901,10320.8,328.272,10341.8,308.847,3954.75,1310.22,936.947,1.41077,-20.2254,0.0934191,2.79294,1.90669,20.3412,1.90898,89030,1.2448,-0.00043016,0.0945853
formaldehyde,171,9170.49,325.5,9143.78,324.086,1114.21,1157.02,1031.56,1.03539,-29.0574,0.101845,2.92304,2.05301,29.137,2.05553,88807,-0,0.902747,0.0457621,10878.6,346.524,10887.3,320.259,4537.41,1099.44,920.523,1.27603,-19.5571,0.0970408,2.92851,2.02671,19.6422,2.02903,89015,1.7466,-0.000354711,0.0946581
formaldehyde,181,9638.11,338.456,9657.16,330.699,1611.78,1297.47,955.276,1.38882,-25.6694,0.107702,3.02026,2.14303,25.6799,2.14573,89265,1.2462,-0.000259581,0.0947124,11507.8,374.463,11502.1,349.779,5139.65,1287.36,905.201,0.924115,-18.9108,0.0998545,3.07534,2.17909,18.9764,2.18138,89233,2.1166,-0.000306387,0.0945956
formaldehyde,196,10534.8,398.229,10540.4,385.453,2481.64,1201.56,933.799,1.2182,-24.6508,0.114263,3.20553,2.22332,24.5972,2.22625,89324,1.6418,0.000482475,0.0947466,12330,368.589,12313.2,364.85,5954.88,1262.62,879.857,1.16451,-17.9221,0.10505,3.27033,2.32383,17.9333,2.3262,89356,2.8612,-0.000276088,0.0945088
formaldehyde,213,11438.7,400.236,11439,434.927,3432.56,1363.47,909.14,1.41527,-23.5104,0.121473,3.64241,2.575,23.611,2.57786,89538,2.475,0.000146307,0.0947565,13391.8,411.73,13395.3,387.469,6996.8,1407.39,852.482,1.5724,-16.8328,0.113725,3.61885,2.54334,16.9098,2.54588,89570,3.8543,1.6986e-05,0.0946094
urea,293,-6573.2,469.459,-6578.05,502.46,-4119.08,914.386,1426.37,0.444861,-518.899,0.236015,-425.197,6.4032,88.8299,6.40755,201998,0,0.957326,0.0277539,-6434.67,502.516,-6439.34,490.739,-1478.44,999.411,1444.47,0.356064,-762.099,0.23844,-672.595,6.37911,84.6319,6.38356,202123,0.0001,0.936591,0.0507901
urea,295,-6531.27,532.679,-6514.33,531.806,-4060.77,1047.83,1426.02,0.460736,-518.718,0.236293,-425.106,6.37646,88.7067,6.38084,201997,-0,0.957157,0.0264899,-6352.03,548.833,-6378.14,512.706,-1427.15,953.328,1443.94,0.404706,-761.909,0.238753,-672.583,6.44458,84.4207,6.449,201898,0.0001,0.929549,0.0529243
